service_id,date,exception_type
4,20230904,1
1,20230904,2
401,20230905,1
501,20230905,1
4501,20230905,1
401,20230906,1
501,20230906,1
4401,20230906,1
401,20230907,1
501,20230907,1
4401,20230907,1
401,20230908,1
501,20230908,1
4501,20230908,1
401,20230911,1
501,20230911,1
4401,20230911,1
401,20230912,1
501,20230912,1
4501,20230912,1
401,20230913,1
501,20230913,1
4401,20230913,1
401,20230914,1
501,20230914,1
4401,20230914,1
401,20230915,1
501,20230915,1
4501,20230915,1
401,20230918,1
501,20230918,1
4401,20230918,1
401,20230919,1
501,20230919,1
4501,20230919,1
401,20230920,1
501,20230920,1
4401,20230920,1
401,20230921,1
501,20230921,1
4401,20230921,1
401,20230922,1
501,20230922,1
4501,20230922,1
401,20230925,1
501,20230925,1
4401,20230925,1
401,20230926,1
501,20230926,1
4501,20230926,1
401,20230927,1
501,20230927,1
4401,20230927,1
401,20230928,1
501,20230928,1
4401,20230928,1
401,20230929,1
501,20230929,1
4501,20230929,1
401,20231002,1
501,20231002,1
4401,20231002,1
401,20231003,1
501,20231003,1
4501,20231003,1
401,20231004,1
501,20231004,1
4401,20231004,1
401,20231005,1
501,20231005,1
4401,20231005,1
401,20231006,1
501,20231006,1
4501,20231006,1
