trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
20000,06:40:00,06:40:00,300000,0,,0,0,
20000,,,300001,1,,0,0,
20000,,,300002,2,,0,0,
20000,,,300003,3,,0,0,
20000,,,300004,4,,0,0,
20000,,,300005,5,,0,0,
20000,,,300006,6,,0,0,
20000,,,300007,7,,0,0,
20000,,,300008,8,,0,0,
20000,,,300009,9,,0,0,
20000,,,300010,10,,0,0,
20000,,,300011,11,,0,0,
20000,,,300012,12,,0,0,
20000,,,300013,13,,0,0,
20000,,,300014,14,,0,0,
20000,,,300015,15,,0,0,
20000,07:00:00,07:00:00,300016,16,,0,0,
20001,08:00:00,08:00:00,300017,1,,0,0,
20001,,,300018,2,,0,0,
20001,,,300019,3,,0,0,
20001,,,300020,4,,0,0,
20001,,,300021,5,,0,0,
20001,,,300022,6,,0,0,
20001,,,300023,7,,0,0,
20001,,,300024,8,,0,0,
20001,,,300025,9,,0,0,
20001,,,300026,10,,0,0,
20001,,,300027,11,,0,0,
20001,,,300028,12,,0,0,
20001,,,300029,13,,0,0,
20001,,,300030,14,,0,0,
20001,,,300031,15,,0,0,
20001,,,300032,16,,0,0,
20001,,,300033,17,,0,0,
20001,,,300034,18,,0,0,
20001,,,300035,19,,0,0,
20001,,,300036,20,,0,0,
20001,,,300037,21,,0,0,
20001,,,300038,22,,0,0,
20001,,,300039,23,,0,0,
20001,,,300040,24,,0,0,
20001,,,300041,25,,0,0,
20001,,,300042,26,,0,0,
20001,,,300043,27,,0,0,
20001,,,300044,28,,0,0,
20001,,,300045,29,,0,0,
20001,08:25:00,08:25:00,300046,30,,0,0,
20002,08:00:00,08:00:00,300047,1,,0,0,
20002,,,300048,2,,0,0,
20002,,,300049,3,,0,0,
20002,,,300050,4,,0,0,
20002,,,300051,5,,0,0,
20002,,,300052,6,,0,0,
20002,,,300053,7,,0,0,
20002,,,300054,8,,0,0,
20002,,,300055,9,,0,0,
20002,,,300056,10,,0,0,
20002,,,300057,11,,0,0,
20002,,,300058,12,,0,0,
20002,,,300059,13,,0,0,
20002,08:25:00,08:25:00,300060,14,,0,0,
20003,08:30:00,08:30:00,300061,1,,0,0,
20003,,,300062,2,,0,0,
20003,,,300063,3,,0,0,
20003,,,300064,4,,0,0,
20003,,,300065,5,,0,0,
20003,,,300066,6,,0,0,
20003,,,300067,7,,0,0,
20003,,,300068,8,,0,0,
20003,,,300069,9,,0,0,
20003,,,300070,10,,0,0,
20003,,,300071,11,,0,0,
20003,,,300072,12,,0,0,
20003,,,300073,13,,0,0,
20003,,,300074,14,,0,0,
20003,,,300075,15,,0,0,
20003,,,300076,16,,0,0,
20003,,,300077,17,,0,0,
20003,,,300078,18,,0,0,
20003,,,300079,19,,0,0,
20003,,,300080,20,,0,0,
20003,,,300081,21,,0,0,
20003,,,300082,22,,0,0,
20003,,,300083,23,,0,0,
20003,,,300084,24,,0,0,
20003,,,300085,25,,0,0,
20003,,,300086,26,,0,0,
20003,,,300087,27,,0,0,
20003,,,300088,28,,0,0,
20003,,,300089,29,,0,0,
20003,,,300090,30,,0,0,
20003,,,300091,31,,0,0,
20003,,,300092,32,,0,0,
20003,,,300093,33,,0,0,
20003,,,300094,34,,0,0,
20003,,,300095,35,,0,0,
20003,,,300096,36,,0,0,
20003,,,300097,37,,0,0,
20003,,,300098,38,,0,0,
20003,,,300099,39,,0,0,
20003,,,300100,40,,0,0,
20003,,,300101,41,,0,0,
20003,,,300102,42,,0,0,
20003,,,300103,43,,0,0,
20003,,,300104,44,,0,0,
20003,,,300105,45,,0,0,
20003,,,300106,46,,0,0,
20003,,,300107,47,,0,0,
