stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
300000,200000,Stop 0,,43.6584271,-79.442157,,,,,,1
300001,200001,Stop 1,,43.6619355,-79.4255488,,,,,,1
300002,200002,Stop 2,,43.6666853,-79.4039195,,,,,,1
300003,200003,Stop 3,,43.67016210000001,-79.3866675,,,,,,1
300004,200004,Stop 4,,43.672379799999995,-79.37678170000002,,,,,,1
300005,200005,Stop 5,,43.6717745,-79.3709666,,,,,,1
300006,200006,Stop 6,,43.6745526,-79.36703990000002,,,,,,1
300007,200007,Stop 7,,43.6776254,-79.3518049,,,,,,1
300008,200008,Stop 8,,43.679005,-79.34454509999998,,,,,,1
300009,200009,Stop 9,,43.674380299999996,-79.3430001,,,,,,1
300010,200010,Stop 10,,43.6712452,-79.3417127,,,,,,1
300011,200011,Stop 11,,43.6706864,-79.34390140000002,,,,,,1
300012,200012,Stop 12,,43.66761320000001,-79.3427534,,,,,,1
300013,200013,Stop 13,,43.6683195,-79.339685,,,,,,1
300014,200014,Stop 14,,43.6685717,-79.3383171,,,,,,1
300015,200015,Stop 15,,43.66889370000001,-79.3370349,,,,,,1
300016,200016,Stop 16,,43.6690256,-79.3363698,,,,,,1
300017,200017,Carpool stop 0,,43.6778757,-79.4430153,,,,,,0
300018,200018,Carpool stop 1,,43.678318,-79.4409339,,,,,,0
300019,200019,Carpool stop 2,,43.6787758,-79.4387452,,,,,,0
300020,200020,Carpool stop 3,,43.6791716,-79.4370501,,,,,,0
300021,200021,Carpool stop 4,,43.6795673,-79.43535490000002,,,,,,0
300022,200022,Carpool stop 5,,43.6798699,-79.43402449999998,,,,,,0
300023,200023,Carpool stop 6,,43.68015689999999,-79.4324152,,,,,,0
300024,200024,Carpool stop 7,,43.6808475,-79.42948630000002,,,,,,0
300025,200025,Carpool stop 8,,43.6814295,-79.42652509999998,,,,,,0
300026,200026,Carpool stop 9,,43.6820579,-79.42352640000001,,,,,,0
300027,200027,Carpool stop 10,,43.6823179,-79.4220217,,,,,,0
300028,200028,Carpool stop 11,,43.6827019,-79.4201093,,,,,,0
300029,200029,Carpool stop 12,,43.6832761,-79.4172608,,,,,,0
300030,200030,Carpool stop 13,,43.6835554,-79.4157829,,,,,,0
300031,200031,Carpool stop 14,,43.683951,-79.414026,,,,,,0
300032,200032,Carpool stop 15,,43.6845324,-79.4110634,,,,,,0
300033,200033,Carpool stop 16,,43.6834616,-79.410602,,,,,,0
300034,200034,Carpool stop 17,,43.68232879999999,-79.41014059999998,,,,,,0
300035,200035,Carpool stop 18,,43.68044329999999,-79.409352,,,,,,0
300036,200036,Carpool stop 19,,43.6788643,-79.4087418,,,,,,0
300037,200037,Carpool stop 20,,43.67828239999999,-79.41077890000003,,,,,,0
300038,200038,Carpool stop 21,,43.6775656,-79.4106676,,,,,,0
300039,200039,Carpool stop 22,,43.6768489,-79.4103525,,,,,,0
300040,200040,Carpool stop 23,,43.6774251,-79.4081075,,,,,,0
300041,200041,Carpool stop 24,,43.675458,-79.4073377,,,,,,0
300042,200042,Carpool stop 25,,43.6734521,-79.4066431,,,,,,0
300043,200043,Carpool stop 26,,43.6702548,-79.4053556,,,,,,0
300044,200044,Carpool stop 27,,43.6690092,-79.40480840000002,,,,,,0
300045,200045,Carpool stop 28,,43.6666843,-79.40382640000001,,,,,,0
300046,200046,Carpool stop 29,,43.6622018,-79.40187890000001,,,,,,0
300047,200047,Carpool stop 0,,43.6510547,-79.4399872,,,,,,0
300048,200048,Carpool stop 1,,43.6529799,-79.43088909999999,,,,,,0
300049,200049,Carpool stop 2,,43.6527935,-79.4287434,,,,,,0
300050,200050,Carpool stop 3,,43.6552776,-79.4193449,,,,,,0
300051,200051,Carpool stop 4,,43.6548429,-79.41488170000001,,,,,,0
300052,200052,Carpool stop 5,,43.65683,-79.4053545,,,,,,0
300053,200053,Carpool stop 6,,43.6584756,-79.3969002,,,,,,0
300054,200054,Carpool stop 7,,43.6595933,-79.3911066,,,,,,0
300055,200055,Carpool stop 8,,43.6614871,-79.3819227,,,,,,0
300056,200056,Carpool stop 9,,43.6626669,-79.3756571,,,,,,0
300057,200057,Carpool stop 10,,43.6632568,-79.3725672,,,,,,0
300058,200058,Carpool stop 11,,43.6641065,-79.36870329999999,,,,,,0
300059,200059,Carpool stop 12,,43.6642773,-79.3679094,,,,,,0
300060,200060,Carpool stop 13,,43.663532200000006,-79.3676734,,,,,,0
300061,200061,Carpool stop 0,,43.68424,-79.36518000000001,,,,,,0
300062,200062,Carpool stop 1,,43.68372,-79.36499,,,,,,0
300063,200063,Carpool stop 2,,43.683670000000006,-79.36508,,,,,,0
300064,200064,Carpool stop 3,,43.683620000000005,-79.36528000000001,,,,,,0
300065,200065,Carpool stop 4,,43.683620000000005,-79.36537000000001,,,,,,0
300066,200066,Carpool stop 5,,43.6837,-79.36568000000001,,,,,,0
300067,200067,Carpool stop 6,,43.683710000000005,-79.36581000000001,,,,,,0
300068,200068,Carpool stop 7,,43.68363,-79.36624,,,,,,0
300069,200069,Carpool stop 8,,43.68303,-79.36603000000001,,,,,,0
300070,200070,Carpool stop 9,,43.68294,-79.36597,,,,,,0
300071,200071,Carpool stop 10,,43.682680000000005,-79.36637,,,,,,0
300072,200072,Carpool stop 11,,43.682280000000006,-79.3669,,,,,,0
300073,200073,Carpool stop 12,,43.68191,-79.36731,,,,,,0
300074,200074,Carpool stop 13,,43.68141000000001,-79.3678,,,,,,0
300075,200075,Carpool stop 14,,43.681020000000004,-79.36817,,,,,,0
300076,200076,Carpool stop 15,,43.68075,-79.36839,,,,,,0
300077,200077,Carpool stop 16,,43.68056000000001,-79.36851,,,,,,0
300078,200078,Carpool stop 17,,43.68036,-79.36861,,,,,,0
300079,200079,Carpool stop 18,,43.680040000000005,-79.36869,,,,,,0
300080,200080,Carpool stop 19,,43.679750000000006,-79.36871000000001,,,,,,0
300081,200081,Carpool stop 20,,43.67954,-79.36868000000001,,,,,,0
300082,200082,Carpool stop 21,,43.67924,-79.36859000000001,,,,,,0
300083,200083,Carpool stop 22,,43.678920000000005,-79.36841000000001,,,,,,0
300084,200084,Carpool stop 23,,43.67864,-79.36817,,,,,,0
300085,200085,Carpool stop 24,,43.6784,-79.3679,,,,,,0
300086,200086,Carpool stop 25,,43.67795,-79.36731,,,,,,0
300087,200087,Carpool stop 26,,43.677890000000005,-79.36723,,,,,,0
300088,200088,Carpool stop 27,,43.677800000000005,-79.36723,,,,,,0
300089,200089,Carpool stop 28,,43.677780000000006,-79.36722,,,,,,0
300090,200090,Carpool stop 29,,43.67763,-79.36712,,,,,,0
300091,200091,Carpool stop 30,,43.677530000000004,-79.36710000000001,,,,,,0
300092,200092,Carpool stop 31,,43.67734,-79.36713,,,,,,0
300093,200093,Carpool stop 32,,43.67728,-79.36717,,,,,,0
300094,200094,Carpool stop 33,,43.677200000000006,-79.36726,,,,,,0
300095,200095,Carpool stop 34,,43.6771,-79.36745,,,,,,0
300096,200096,Carpool stop 35,,43.67707,-79.36767,,,,,,0
